DEI,Fri,2:40,H103
Pride,Mon,2:40
DECA,Tues,2:40,LGI
MUN,Thurs,2:40,H103
Girl Up,Wed,2:40,LGI
Spanish,Mon,2:40,H219
Italian,Tues,2:40,Audi/H219?
Art,Mon,2:40,H210B
Digital Design & Fashion,Fri,2:40,M100
Mock Trial,Tues,5-8 pm,Library
Multicultural,Tues,2:40,H208
HR,Tues,2:40,LGI
Human Rights,Mon,2:40,H110
Book Club,Tues,3:15,H215
Impulse,Mon,2:40,H215
Debate,Mon,2:40,H214
Drama,Mon,2:40,Auditorium
Yearbook,Tues,2:40,H210B
Midnight Run,Mon,2:45,HGYM
SADD,Tues,2:40,Gasparini
Girls Who Code,Fri,2:40,H206
Robotics,Tues,2:40,Fab Lab
Computer Club,Wed,2:40,M100
Roots & Shoots,Tues,2:40,Harkness Park
Digital Music,Wed,2:40,H101
Political Action,Wed,2:40,H214